lon,lat,elev_m,distance_to_next_m,segment_id,segment_type,speed_limit_mph
-3.188535,55.953377,81.2,0.0,0,secondary,40
-3.188535,55.953377,81.2,2.124106032073929,0,secondary,40
-3.18856,55.953364,81.2,2.390949973976485,0,secondary,40
-3.188594,55.953354,81.2,20.023958674694672,0,secondary,40
-3.188903,55.953304,81.2,10.435981537345604,0,secondary,40
-3.189063,55.953276,81.2,17.84040401641576,0,secondary,40
-3.189337,55.953229,81.2,17.446571747352923,0,secondary,40
-3.189606,55.953185,81.2,35.93235040817457,0,secondary,40
-3.190156,55.953087,81.2,56.31500471155622,0,secondary,40
-3.19102,55.952937,81.2,7.166554255179179,0,secondary,40
-3.19113,55.952918,81.2,14.722830036392178,0,secondary,40
-3.191356,55.952879,81.2,37.451205374895515,0,secondary,40
-3.191931,55.95278,81.2,5.938030183581758,0,secondary,40
-3.192022,55.952764,81.2,13.01240308644469,0,secondary,40
-3.192222,55.95273,81.2,2.7712722440831175,0,secondary,40
-3.192234,55.952754,81.2,5.2046126746633155,0,secondary,40
-3.192257,55.952799,81.2,6.116467275881676,0,secondary,40
-3.192163,55.952815,81.2,6.7145419236509705,0,secondary,40
-3.192059,55.952831,81.2,19.247998896192456,0,secondary,40
-3.191763,55.952881,81.2,17.409255918482025,0,secondary,40
-3.191498,55.952931,81.2,6.988303705058575,0,secondary,40
-3.191391,55.95295,81.2,14.479677991428249,0,secondary,40
-3.191168,55.952987,81.2,9.631370233352708,0,secondary,40
-3.191021,55.953014,81.2,87.53074179529457,0,secondary,40
-3.189686,55.953261,81.2,16.217623044986457,0,secondary,40
-3.189436,55.953302,81.2,3.5075393649889683,0,secondary,40
-3.189382,55.953311,81.2,18.078610317350247,0,secondary,40
-3.189104,55.953358,81.2,27.070132770957265,0,secondary,40
-3.188687,55.953427,81.2,11.091437692204451,0,secondary,40
-3.188516,55.953455,81.2,21.164511446714332,0,secondary,40
-3.18819,55.953509,81.2,2.7280728384279795,1,secondary,40
-3.188148,55.953516,81.2,50.51311951364455,1,secondary,40
-3.18737,55.953645,81.2,17.59722179853519,1,secondary,40
-3.187099,55.95369,81.2,12.709996105136078,1,secondary,40
-3.186903,55.953722,81.2,27.03990944040443,1,secondary,40
-3.186491,55.953799,81.2,37.034002224968646,1,secondary,40
-3.185923,55.953898,81.2,15.594333244633775,1,secondary,40
-3.185684,55.95394,81.2,11.842888554172756,1,secondary,40
-3.185502,55.953971,81.2,10.551121138667714,1,secondary,40
-3.185339,55.953997,81.2,3.658246919831294,1,secondary,40
-3.185282,55.954005,81.2,3.9873389066125102,1,secondary,40
-3.18522,55.954014,81.2,10.681339160196687,1,secondary,40
-3.18505,55.954027,81.2,10.549570757895605,1,secondary,40
-3.184881,55.954034,81.2,6.229305812528092,1,secondary,40
-3.184781,55.954036,81.2,6.848770766033111,1,secondary,40
-3.184671,55.954037,81.2,6.1630811564130346,1,secondary,40
-3.184572,55.954037,81.2,14.408011374315116,1,secondary,40
-3.184341,55.954029,81.2,12.269086081235844,1,secondary,40
-3.184146,55.954013,81.2,12.690035980638225,1,secondary,40
-3.183945,55.953994,81.2,13.231570811647263,1,secondary,40
-3.183738,55.953967,81.2,12.801127713646549,1,secondary,40
-3.183541,55.953934,81.2,3.5772953084160517,1,secondary,40
-3.183487,55.953923,81.2,8.126578745150992,1,secondary,40
-3.183365,55.953897,81.2,4.081165179563322,1,secondary,40
-3.183306,55.953881,81.2,0.6520699010069347,1,secondary,40
-3.183297,55.953878,81.2,1.0343205536807363,1,secondary,40
-3.183282,55.953874,81.2,8.651477693207005,1,secondary,40
-3.183157,55.95384,81.2,4.458718175869453,1,secondary,40
-3.183093,55.953822,81.2,3.5920496105174857,1,secondary,40
-3.183041,55.953808,81.2,5.765347101730961,1,secondary,40
-3.182958,55.953785,81.2,5.163177264320897,2,secondary,40
-3.182887,55.953761,81.2,3.1540189745918665,2,secondary,40
-3.182844,55.953746,81.2,8.133471181326234,2,secondary,40
-3.182741,55.953701,81.2,10.260742015798405,2,secondary,40
-3.18261,55.953645,81.2,4.995341894850443,2,secondary,40
-3.182562,55.953609,81.2,5.14817293390635,2,secondary,40
-3.18251,55.953573,81.2,7.81529809125029,2,secondary,40
-3.18242,55.953524,81.2,14.019844374403409,2,secondary,40
-3.182257,55.953437,81.2,9.452241669622623,2,secondary,40
-3.182146,55.953379,81.2,11.709868049222143,2,secondary,40
-3.181972,55.953339,81.2,12.819927099630455,2,secondary,40
-3.181793,55.953282,81.2,6.945389050424211,2,secondary,40
-3.18169,55.953258,81.2,6.245163754359777,2,secondary,40
-3.181592,55.953246,81.2,6.013567530269923,2,secondary,40
-3.181496,55.95324,81.2,22.6631384098723,2,secondary,40
-3.181132,55.953243,81.2,27.692114446677582,2,secondary,40
-3.18069,55.953271,81.2,19.359248999634644,2,secondary,40
-3.180384,55.953302,81.2,19.719391553119006,2,secondary,40
-3.180075,55.953341,81.2,23.388483883048533,2,secondary,40
-3.179716,55.953403,81.2,26.53326589430844,2,secondary,40
-3.179308,55.953472,81.2,18.435645579113075,2,secondary,40
-3.179012,55.953467,81.2,5.488911036503639,2,secondary,40
-3.178928,55.953482,81.2,16.972454939889193,2,secondary,40
-3.178673,55.953536,81.2,13.754330953140787,2,secondary,40
-3.178476,55.953592,81.2,14.30177590440878,2,secondary,40
-3.178281,55.95366,81.2,30.757691485947642,2,secondary,40
-3.177873,55.953816,81.2,38.3591190127491,2,secondary,40
-3.177394,55.954033,81.2,48.085889314221184,2,secondary,40
-3.176765,55.954284,81.2,48.64821827243691,2,secondary,40
-3.17613,55.954539,81.2,104.48161523254825,2,secondary,40
-3.174759,55.955081,81.2,48.19340878336163,3,secondary,40
-3.174133,55.955336,81.2,72.16983424295692,3,secondary,40
-3.173209,55.955728,81.2,13.397273924462963,3,secondary,40
-3.173062,55.955816,81.2,1.4119279201883985,3,secondary,40
-3.173046,55.955825,81.2,12.366456507006639,3,secondary,40
-3.172908,55.955905,81.2,4.4024283983035035,3,secondary,40
-3.172858,55.955933,81.2,29.42753127507075,3,secondary,40
-3.172568,55.956142,81.2,11.912696542577843,3,secondary,40
-3.172447,55.956225,81.2,5.35245086514572,3,secondary,40
-3.172392,55.956262,81.2,10.573963651351178,3,secondary,40
-3.172279,55.956333,81.2,5.893595050792407,3,secondary,40
-3.172219,55.956374,81.2,8.263682949452821,3,secondary,40
-3.172136,55.956432,81.2,11.418215280634941,3,secondary,40
-3.172028,55.956515,81.2,18.240131608060487,3,secondary,40
-3.171847,55.956644,81.2,13.55948542771102,3,secondary,40
-3.171702,55.956735,81.2,3.8240973323060934,3,secondary,40
